name,brand,family,notes_top,notes_heart,notes_base
i-want-oud,jimmy-choo,rose,rose|saffron|cardamom,rose|nutmeg|woodsy notes,oud|benzoin|myrrh
sea-daffodil,jo-malone-london,woody,mandarin orange|pink pepper,ylang-ylang|sea daffodil,sandalwood|vanilla|vetiver
lady-vengeance,juliette-has-a-gun,rose,lavender|bergamot,bulgarian rose|moroccan rose|patchouli|iso e super|geranium,white musk|ambroxan|vanilla
dzongkha,l-artisan-parfumeur,woody,cardamom|peony|litchi,spices|vetiver|incense|white tea|cedar,iris|papyrus|leather
la-nuit-tresor-musc-diamant,lancome,musky,white musk|raspberry|violet leaf,white musk|damask rose|freesia|jasmine,white musk|vanilla|almond|sandalwood|patchouli
tresor-midnight-rose,lancome,fruity,raspberry|rose,cassis|pink pepper|peony|jasmine,vanille|musk|virginia cedar
ejaazi,lattafa-perfumes,woody,citruses|lavender|cardamom|orange|myrtle,pepper|patchouli|lily-of-the-valley|cinnamon leaf,ambroxan|woodsy notes|amber|cedar|oakmoss|vetiver
yara-tous,lattafa-perfumes,tropical,mango|coconut|passionfruit,jasmine|heliotrope|orange blossom,vanilla|cashmeran|musk
rose-praline,les-parfums-de-rosine,warm spicy,rose oil|cardamom|bergamot,rose|dark chocolate|tea|geranium,cacao|amber|sandalwood|musk
lolita-lempicka,lolita-lempicka,soft spicy,star anise|violet|ivy,licorice|cherry|iris|orris root|amaryllis,vanilla|praline|tonka bean|white musk|vetiver
lolita-lempicka-mon-premier-parfum,lolita-lempicka,sweet,cherry|star anise|ivy,licorice|violet|orris|amaryllis,praline|vanilla|tonka bean|musk|vetiver
marfa,memo-paris,white floral,orange blossom|mandarin orange,tuberose|ylang-ylang|agave,vanilla|sandalwood|white musk|cedar
fleur-musc-for-her,narciso-rodriguez,rose,pink pepper,rose|musk|peony,patchouli|violet|amber
kriska-shock,natura,sweet,pink pepper|red fruits|raspberry|apple,peony|vanilla orchid|jasmine|rose,caramel|sweet notes|vanilla|amber|maltol|musk
nina-l-eau,nina-ricci,citrus,apple|grapefruit|mandarin orange|neroli,cherry|watery notes|gardenia|apple blossom,musk
aroma-terapia-calma-na-alma,o-boticario,white floral,peach|apple|cassis|mandarin orange|bergamot,jasmine|lily-of-the-valley|lavender|mint|birch,musk|cashmeran|amberwood|vanilla|cedar
floratta-l-amore,o-boticario,citrus,bergamot|mandarin orange|apple|pear|neroli|apricot|red fruits,limoncello|orange blossom|jasmine sambac|gardenia|lily|magnolia,cedar|sandalwood|musk|amber
glamour-secrets-black,o-boticario,sweet,peony|lily|orange|lily-of-the-valley,raspberry|plum|tiare flower|wheat,praline|vanille|amber|musk|sandalwood
montabaco-flor,ormonde-jayne,citrus,orange|cardamom|juniper|bergamot|clary sage,tea|jasmine|water lily|freesia|violet|ylang ylang|gardenia|rose,tobacco leaf|suede|iso e super|sandalwood|moss|ambergris|tonka
hammam-bouquet,penhaligon-s,powdery,lavender|bergamot,rose|orris root|jasmine|cedar,musk|sandalwood|amber
vra-vra-vroom,penhaligon-s,floral,apricot|bergamot|mandarin orange|clary sage,osmanthus|magnolia|rose,ambrofix™|leather|georgywood
prada-la-femme-l-eau,prada,citrus,frangipani|mandarin orange,tuberose|ylang-ylang,woody notes
pink-flamingos,prada,powdery,bergamot|lime|lemon,cherry|hamanasu or japanese rose|iris|raspberry|rose|hedione|peach|black currant,violet|white musk|iso e super|vanilla
prada-candy-l-eau,prada,caramel,citruses,sweet pea,caramel|benzoin|white musk
ralph,ralph-lauren,floral,apple leaf|italian mandarin|japanese osmanthus,yellow freesia|magnolia|boronia,musk|white iris
mukhallat-al-oudh,rasasi,rose,geranium|bergamot|sea notes,rose|violet|white flowers,sandalwood|amber|praline|patchouli|musk|cypress
roohy-tehbak,rasasi,amber,lily|gardenia|orange|mandarin orange,peach|pepper|olibanum|labdanum,patchouli|amber|sandalwood
paradiso-assoluto,roberto-cavalli,white floral,wisteria|pink pepper|grapefruit|bergamot|lemon,wild jasmine|red lily|passionfruit,vanilla|cashmeran|sandalwood|patchouli
taif-aoud,roja-dove,rose,aldehydes|bergamot,taif rose|geranium|cassis|clove|jasmine|ylang-ylang,musk|incense|patchouli|agarwood (oud)|vanilla|benzoin|labdanum
majestic-aoud,roja-dove,woody,rosemary|bergamot,osmanthus|jasmine|rose de mai,agarwood (oud)|patchouli|civet|cypriol oil or nagarmotha|valerian|gurjan balsam|castoreum|ambergris|amyris|pepper|saffron|vetiver|labdanum|ambrette (musk mallow)|guaiac wood|cedar
agua-verde,salvador-dali,woody,fig|grapefruit,vetiver|nutmeg|jasmine,sandalwood|amber
la-belle-et-l-ocelot,salvador-dali,amber,artemisia|mandarin orange,osmanthus|tonka bean|rose|jasmine,benzoin|incense|patchouli
ma-muse,salvador-dali,floral,heliotrope|almond,vanilla orchid|tuberose|jasmine,carnation
fabulous-marudhai,salvador-dali,amber,rose,patchouli|vanilla|cedar,amber|sandalwood
signorina-eleganza-limited-edition,salvatore-ferragamo,fruity,pear|grapefruit,osmanthus|almond,patchouli|leather
uomo-salvatore-ferragamo-urban-feel,salvatore-ferragamo,amber,bergamot|ozonic notes|clary sage|coffee,driftwood|cedar|cumin,ambroxan|incense|patchouli|labdanum
rykiel-man,sonia-rykiel,aromatic,sea water|lemon|green mandarin|neroli,rosemary|nutmeg|saffron,musk|sandalwood|vanilla|patchouli
mutamayez,swiss-arabian,woody,orange|pine,cashmere wood|clove|cardamom|cedar,agarwood (oud)|amber|vetiver|musk
warda,swiss-arabian,white floral,black locust|black currant|peach|plum|coriander|mandarin orange,hyacinth|jasmine|carnation|tuberose|ginger,sandalwood|tonka bean|amber|musk|vanilla
cabiria,tiziana-terenzi,fruity,green apple|melon|pear|mint|cassis|grass,ambergris|bulgarian rose|jasmine sambac|heliotrope,musk|vanilla|cedar|birch
adhil-assoluto,tiziana-terenzi,vanilla,cassis|green notes|anise,jasmine|ozonic notes,vanilla|heliotrope|australian sandalwood|amber|amyris|oakmoss
wirtaner,tiziana-terenzi,vanilla,rose|bergamot|ylang-ylang,agarwood (oud)|pepper|peony|jasmine,vanilla|caramel|amber|sandalwood
tommy-into-the-surf,tommy-hilfiger,warm spicy,bitter orange|cardamom|ginger,violet leaf|clary sage|white pepper,ebony tree|haitian vetiver|indonesian patchouli leaf
tommy-summer-2021,tommy-hilfiger,warm spicy,ginger|cardamom|orange,clary sage|white pepper|violet leaf,ebony|vetiver|patchouli
dreaming,tommy-hilfiger,fruity,peach|pink pepper|black currant,white peach|freesia|tuberose,lily|musk|sandalwood|amber
freedom-sport,tommy-hilfiger,aromatic,clary sage|green notes|coriander leaf,black pepper|cinnamon|cardamom,vetiver|patchouli
love-rocks,victoria-s-secret,powdery,raspberry|peony|bergamot,plum|sandalwood|jasmine|stephanotis,amber|vanille|musk|violet
angel-eau-de-parfum,victoria-s-secret,fruity,plum,violet,amber
very-sexy-dare,victoria-s-secret,citrus,blood orange|bergamot|pineapple,nutmeg|jasmine|lily|peony,musk|sandalwood|tonka bean
very-sexy-sea,victoria-s-secret,citrus,bergamot,neroli,cedar
bonbon,viktor-rolf,caramel,peach|mandarin orange|orange,caramel|orange blossom|jasmine,amber|sandalwood|guaiac wood|cedar
irisss,xerjoff,powdery,carrot seeds|carnation|bergamot,iris|violet|rose|jasmine,musk|vetiver|cedar|incense
homme-nature,yves-rocher,green,cucumber|bergamot,ivy|mint|carnation,sage|oakmoss|sandalwood
fleur-de-noel-limited-edition,yves-rocher,citrus,amalfi lemon|orange|mandarin orange,white flowers|fruity notes,musk|virginia cedar
voile-d-ambre-eau-fraiche,yves-rocher,amber,mandarin orange|bergamot|amalfi lemon,jasmine,myrhh|sandalwood|opoponax
black-opium-exotic-illusion,yves-saint-laurent,sweet,pear|orange blossom|pink pepper,coffee|licorice|jasmine|almond,vanilla|patchouli|cedar|cashmere wood
opium-1977,yves-saint-laurent,warm spicy,cloves|pepper|coriander|west indian bay|plum|jasmine|mandarin orange|citruses|bergamot,carnation|cinnamon|sandalwood|patchouli|orris root|rose|peach|lily-of-the-valley,incense|myrrh|sandalwood|tolu balsam|amber|opoponax|benzoin|labdanum|vanilla|musk|castoreum|cedar|vetiver|coconut
young-sexy-lovely-collector-intense-2007,yves-saint-laurent,sweet,pear|mandarin orange,cherry|magnolia,musk|patchouli|amber
black-pepper-cedarwood,zara,woody,black pepper,rose,cedar
unexpected-joy,zara,citrus,bergamot,magnolia|neroli,cedar
deep-garden-2018,zara,tuberose,pear,tuberose,tonka bean
for-him-black-edition-2022,zara,fresh spicy,nutmeg,orange blossom,cedar
eternal-magnolia,zara,floral,pear blossom|red berries,frangipani|magnolia|jasmine|gardenia,sugar|patchouli
fabulous-sweet,zara,sweet,pear|mandarin orange|pink pepper,tuberose|ylang-ylang|coconut water,vanilla|tonka bean|patchouli
red-temptation-winter-eau-de-parfum,zara,sweet,praline|saffron|orange,vanilla|leather,patchouli|moss|amber|cedar|musk
wonder-rose-2019,zara,fruity,pear,red fruits,vanilla
vibrant-leather-encens,zara,amber,peruvian pepper,olibanum,elemi resin
winter-collection,zara,woody,pepper|bergamot|tangerine,eucalyptus|lavender,cypress|amber|cedar|orange blossom|patchouli
rinse-wash,zara,aquatic,watery notes,aromatic spices,patchouli
magnificently-dubai,zara,leather,saffron,nutmeg,leather
orange-honey-2021,zara,white floral,neroli,orange blossom,orchid
zara-with-love,zara,vanilla,pear|mandarin orange,jasmine,vanila|amber|musk
zara-woman-pear-white-flowers,zara,white floral,pear|apple|bergamot,white flowers|jasmine,amber
penguin,zoologist-perfumes,ozonic,ozonic notes|ice|juniper berry,pink pepper|saffron|labdanum,suede|moss|musk|sandalwood
loveme-the-onyx-parfum,tous,vanilla,hazelnut|grapefruit|peony,heliotrope|black orchid,vanilla|vetiver|sandalwood
s-sugar,shakira,fruity,strawberry|cherry|raspberry|bergamot,hawthorn|rose|iris,candied almond|vanilla|musk
jean-nate,revlon,citrus,lemon|bergamot|lavender,spicy notes|geranium|rose|jasmine|lily-of-the-valley,musk|sandalwood|virginia cedar|tonka bean
play-it-rock,playboy,fruity,blood orange|candy apple|saffron,passion flower|frangipani|african orange flower,vanilla|patchouli|ebony wood|leather
super-playboy-for-him,playboy,fruity,apple|pepper|bergamot,pineapple|lavender|cinnamon,amber|cedar|patchouli
eclat-homme-sport,oriflame,citrus,bergamot|pink pepper|mandarin orange,white suede|elemi resin|oregano|thyme,tonka bean|patchouli|cedar|musk
voyage-voyage-monaco-chic,oriflame,white floral,melon|peach|bergamot,orange blossom|orchid|jasmine,vanilla|musk|woody notes
minajesty,nicki-minaj,fruity,red berries|lemon|peach,frangipani|orchid|magnolia,tonka bean|vanila|musk
desperate-housewives-forbidden-fruit,coty,white floral,apple|peach|orange blossom,lily|wisteria|jasmine|ylang-ylang,vanilla|sandalwood|tonka bean|cedar
par-amour,clarins,amber,pink pepper|cassia|black currant,turkish rose|vanilla|cardamom,sandalwood|amber|benzoin|labdanum
parco-palladiano-vii-lilla,bottega-veneta,floral,sea water|salt,lilac,musk
anti-hangover,axe,citrus,lime|grapefruit|lemon|ginger,aldehydes|black currant,patchouli|cedar|musk
basi-femme,armand-basi,sweet,coriander|fruits|lemon|green notes,jasmine|violet|cassia|pink pepper|rose|peony,praline|vanilla|amber|musk|palisander rosewood|woody notes|oakmoss
ebano-salvia,adolfo-dominguez,woody,pink pepper|grapefruit|bergamot,cedar|nutmeg|carnation,cashmere wood|sandalwood|vetiver
benetton-nero,benetton,fresh spicy,tangerine|mint|grapefruit,mace|juniper berries|lemon tree,ebony tree|musk|patchouli
cold-silver,benetton,warm spicy,yuzu|ginger|coriander,driftwood|sage|cardamom,musk|amber|moss
hombre-habanero,brocard,fresh spicy,citruses|lemon|nutmeg,red chilli pepper|black pepper,cedar|leather|amber
eau-de-cologne-bodrost-o-de-kolon-bodrost,brocard,citrus,lemon|mandarin orange,grapefruit|neroli,cypress|cedar|almond
il-n-y-a-pas-de-bien-ni-de-mal-t-j,d-orsay,amber,resins,incense|smoke,labdanum|agarwood (oud)|vanilla|patchouli
arome-3,d-orsay,aromatic,lavender|petitgrain|neroli|bergamot|orange,lavender|coriander|ylang-ylang|sage|cloves|spices|myrrh|jasmine,oakmoss|amber|tonka bean|woody notes|vanilla|cedar|orris
ferrari-uomo,ferrari,fresh spicy,bergamot|amalfi lemon|juniper,leather|nutmeg|virginia cedar,tonka bean|french labdanum|patchouli
l-12-12-eau-de-parfum-blanc-edition-limitee-roland-garros,lacoste-fragrances,aromatic,finger lime|star anise|grapefruit,parsley|eucalyptus|clary sage,sage|clay|cedar|vetiver
l-homme-lacoste,lacoste-fragrances,citrus,mandarin orange|rhubarb|sweet orange|quince,ginger|almond|black pepper|jasmine,vanilla|woody notes|cedar|amber|musk
no-04-violet-white-lily,rituals,woody,red apple|pink pepper|amalfi lemon,violet|lily|rose,sandalwood|virginia cedar
secret-encounter,the-gate-fragrances-paris,herbal,pink pepper|ginger|artemisia,sage|jasmine sambac|leather|tonka bean,vanilla|cedar|amber|patchouli
oud-noir,vertus,woody,plum|apple|saffron|rhubarb|grapefruit|lemon,rose|geranium|cedar|carnation|cyclamen|orris|amber|magnolia,agarwood (oud)|guaiac wood|vetiver|sandalwood|vanilla|musk|patchouli|castoreum
this-is-her-art-4-all,zadig-voltaire,tropical,mango,chestnut|frangipani|jasmine,vanilla|sandalwood
lovely-sheer,sarah-jessica-parker,citrus,tunisian orange blossom|bergamot|mandarin orange,gardenia|pink pepper|white woods,musk|vetiver|crystal amber
boss-bastard,aaron-terence-hughes,woody,mandarin orange|bergamot|lemon,tobacco|amber|cedar,cacao pod|musk|sandalwood|vetiver
ezra,abercrombie-fitch,floral,green apple|black currant|bergamot|pimento,chinese peony|freesia|magnolia|may rose|iris|jasmine,musk|kashmir wood
cedro,acca-kappa,citrus,lemon|petitgrain|bergamot,cardamom|sage|cloves,cedar
arcipelago-women,acqua-dell-elba,citrus,apricot|lemon|mandarin orange,orange blossom|immortelle|jasmine|mimosa,woody notes|musk|cedar
city-of-jasmine,alghabra-parfums,leather,apple|leather,jasmine|rose,musk|vanilla
argos-pour-femme,argos,vanilla,moroccan lemon|bergamot|violet leaf|orange blossom|ginger,iris|pink pepper|lavender|lily-of-the-valley|jasmine|bulgarian rose,vanilla|tonka bean|white musk|amber|ylang-ylang|sandalwood
habano-vanilla,arteolfatto,warm spicy,cinnamon|carnation|ginger,tobacco|coriander,vanilla|tolu balsam|tonka bean|woody notes
neroli-lumiere,bastide-aix-en-provence,white floral,lemon|cassis|pink grapefruit,neroli|orange blossom|jasmine sambac,white woods|amber
basic-black,bill-blass,warm spicy,carnation|plum|ylang-ylang|cardamom|peach|mandarin orange|bergamot,carnation|honey|ylang-ylang|coriander|rose|tuberose|violet|jasmine,oakmoss|patchouli|civet|musk|amber|sandalwood|benzoin|styrax|vetiver|coconut
pure-narcotic,boadicea-the-victorious,white floral,datura|fig leaf|cardamom|bergamot|coriander,osmanthus|mate|jasmine|moroccan rose,tonka bean|benzoin|sandalwood|amber|bourbon vanilla|musk
seductive,boadicea-the-victorious,woody,resin|mint|iris,fir|rosemary|jasmine,patchouli|sandalwood|musk|amber
santal-de-kandy,boucheron,woody,cardamom|black pepper,violet|jasmine,sandalwood|cedar
coeur-de-vahine,comptoir-sud-pacifique,citrus,blood orange|passionfruit|peach|bergamot,tiare flower|orange blossom|jasmine|rose,vanilla|musk
cuba-silver-blue,cuba-paris,green,green notes|spices|lavender|grapefruit|bergamot|petitgrain,violet|green pepper|ginger|gardenia|sage,labdanum|musk|sandalwood|guaiac wood|incense|vetiver
l-eau-virile,adopt-parfums,aromatic,bergamot|laurels|lemon,lavender|verbena,sea notes|musk
argentic,alexandre-j,fresh spicy,bergamot,black pepper|rose,atlas cedar|virginia cedar|incense|white musk|amberwood|nutmeg
zafeer-oud-vanille,alexandre-j,vanilla,coconut|toffee|leather,tonka bean|ylang-ylang|white woods|cloves,vanilla|agarwood (oud)|musk
miyabi-woman,annayake,vanilla,peach|neroli|tangerine|ginger,freesia|heliotrope|tuberose,vanille|tonka bean|white musk|sandalwood|amber
tsukiyo-for-her,annayake,rose,rose|mandarin orange|bergamot,peony|jasmine|leather,patchouli|vanilla|ambergris|styrax
fakhar-al-oud,ard-al-zaafaran,woody,saffron|agarwood (oud)|cypriol oil or nagarmotha|nutmeg,gurjan balsam|guaiac wood|cedar|sandalwood|patchouli|jasmine,vanilla|amber|tonka bean|musk
gotas-de-color,agatha-ruiz-de-la-prada,citrus,bergamot|orange|green apple,ginger|jasmine|rose,musk|cedar
mango-sorbet-mangovyj-sorbe,edgardio-chilini,fruity,apple|mango|rhubarb|nectarine|litchi,coriander|geranium|peach|peony|osmanthus|jasmine|petitgrain|gardenia|grapes|tuberose,musk|opoponax
nero,farmacia-ss-annunziata,fresh spicy,bergamot|watercress,licorice|basil|citruses,vanille|benzoin|musk
passion-man,franck-olivier,warm spicy,bergamot|green apple|mandarin orange|pink pepper,cinnamon|nutmeg|mint|cardamom|cypress,vanilla|amber|tolu balsam|musk|sandalwood
glorious,gloria-vanderbilt,green,green notes|galbanum|mandarin orange|bergamot|fruity notes,hiacynth|carnation|jasmine|ylang-ylang|rose|lily-of-the-valley|orris root,oakmoss|musk|amber|cedar|sandalwood
vanderbilt-women,gloria-vanderbilt,fruity,peach|pineapple|mandarin orange|bergamot,jasmine|orris root|orchid,sandalwood|vanille|tonka bean|virginia cedar|cinnamon
cabotine-floralie,gres,fruity,lemon|freesia|black currant,sea notes|lily-of-the-valley|rose,peach|amyl salicylate|musk|white cedar extract
cabotine-green-summer,gres,citrus,blood orange|mandarin orange|yuzu|pear,lotus|freesia|jasmine,oakmoss|cedar|musk
eterna,hinode,rose,green tea|bergamot,rose|jasmine|orchid|freesia,musk|patchouli
venyx,hinode,sweet,orange blossom|bergamot,rose|ylang-ylang|freesia,tonka bean|musk|vetiver|moss|patchouli
quelques-fleurs-jardin-secret,houbigant,citrus,neroli|bergamot|yellow mandarin,orris root|magnolia|narcissus|orange blossom|ylang-ylang|jasmine|rose,ambrette (musk mallow)|white musk|musk|sandalwood
lucky-wish,anna-sui,citrus,iced lemon|tangerine|pomelo,bamboo|freesia|orchid|orange blossom,musk|amber|sandalwood
feu-primitif,jardin-de-france,fresh spicy,pepper|elemi|orange,black tea|rose,cypress|incense|virginia cedar
terre-initiale,jardin-de-france,fruity,red berries|mandarin orange,artemisia|wormwood,cedar|incense|patchouli
sultane-noir-velours,jeanne-arthes,powdery,mimosa|bergamot,heliotrope|jasmine|rose,tonka bean|musk|virginia cedar
artisan,john-varvatos,citrus,clementine|tangerine|marjoram|thyme,orange blossom|ginger|lavender|jasmine,musk|woodsy notes|amber
terrasse-a-st-germain,jul-et-mad-paris,floral,rhubarb|grapefruit|tangerine,freesia|blue rose|lotus petals,musk|patchouli|sandalwood
mon-seul-desir,jul-et-mad-paris,amber,nutmeg|mandarin orange|pink pepper,coriander|osmanthus|agarwood (oud),leather|benzoin|amber|guaiac wood|musk
karl-lagerfeld-private-klub-for-men,karl-lagerfeld,warm spicy,lavender|grapefruit|basil,pineapple|cinnamon|pepper|cloves,coumarin|vetiver|cedar
paradise-lost,keiko-mecheri,citrus,bergamot|lime,tuberose|jasmine,sandalwood|musk|bourbon vanilla
nude-sand,kkw-fragrance,floral,ambrette (musk mallow)|pink pepper|mandarin orange,iris|freesia|peony,tonka bean|musk|vetiver
hearts-rose-gold,kkw-fragrance,rose,pear|pink pepper|bergamot,rose|peony|tagetes,musk|benzoin|moss
pivoine-flora-eau-de-toilette,l-occitane-en-provence,floral,bergamot|grapefruit,peony|rose,musk|sandalwood
ultimate-seduction-extreme-oud,laurent-mazzone-parfums,leather,ylang-ylang|saffron,leather|egyptian jasmine,animal notes|patchouli
hysteric,laurent-mazzone-parfums,warm spicy,cardamom|mandarin orange|bergamot,whiskey|rose|tiramisu|jasmine,patchouli|cacao|coffee
radikal-lotus,laurent-mazzone-parfums,floral,saffron|guava|freesia,rose|lotus|indian jasmine,patchouli|black amber|vanilla
aldheyx,laurent-mazzone-parfums,aldehydic,aldehydes|bergamot,heliotrope|jasmine,white musk|cashmeran
vol-d-hirondelle,laurent-mazzone-parfums,citrus,petitgrain paraguay|bergamot|palisander rosewood|artemisia|lemon|mandarin orange,orangewood|spices|rose|jasmine,vetiver|musk
tres-pine,le-monde-gourmand,woody,caramel|rum|graperfuit|nutmeg,red rose|davana|neroli,balsam fir|sandalwood|oakmoss
santa-subita,libertin-louison-technique-indiscrete,woody,orange|bergamot|amalfi lemon,patchouli|sandalwood|virginia cedar,benzoin|vanille|musk|oak moss
sopranissima,luciano-soprani,powdery,bergamot|pink pepper|peach|jasmine|neroli,violet|white rose|orange blossom|elemi resin,leather|orris|musk|cinnamon
autograph-inspire,marks-spencer,floral,pepper|freesia,jasmine|rose|heliotrope|hibiscus,cedar|sandalwood
enchant,marks-spencer,fruity,pear|black fig,hibiscus|freesia|mimosa,amber|sandalwood
ambre-topkapi,mdci-parfums,fresh spicy,lavender|pineapple|grapefruit|melon|nutmeg|wormwood|bergamot|ginger|basil|caraway|cardamom|cinnamon,lily-of-the-valley|violet|jasmine|thyme,musk|amber|oakmoss|leather|brazilian rosewood|tea|patchouli|raspberry|sandalwood|vanilla|vetiver
mercedes-benz-sign,mercedes-benz,warm spicy,violet leaf|guatemalan cardamom|pink pepper,orange blossom|lavender|geranium,tonka bean|cashmere wood|patchouli
colour-me-green,milton-lloyd,woody,bergamot|lemon,patchouli|jasmine|lily|rose,vanilla|woody notes|amber
poker,milton-lloyd,sweet,pink pepper|pineapple|lemon,jasmine|iris|hyacinth,patchouli|white musk|vetiver|amber
klito,mirko-buffini-firenze,powdery,aldehydes|bergamot,violet|rose|carnation|ylang-ylang,vanilla|musk|cedar
mesmerising-oudh-accord-gold-eau-de-parfum,molton-brown,amber,davana|black pepper|cardamom|bergamot,saffron|vanilla|black tea|rose,tobacco|agarwood (oud)|styrax|olibanum|honey
aleksandr,arquiste,leather,neroli|vodka|birch leaf|aldehydes,russian leather|violet leaves|orris|cognac,balsam fir|birch tar|oakmoss|natural musk
nike-aromatic-addiction-man,nike,aromatic,ginger|pineapple|lemon,lavender|mint|juniper,tonka bean|vetiver|amber
vespri-esperidati-women,nobile-1942,citrus,amalfi lemon|bergamot|grapefruit|mandarin orange,petitgrain|neroli|orange|tarragon|jasmine,oak moss|patchouli|benzoin|sandalwood|amber
la-stanza-delle-bambole,nobile-1942,powdery,milk|mandarin orange|bergamot,powdery notes|ylang-ylang|hawthorn|orange blossom,vanilla|sandalwood|tonka bean|musk
flash-back,olfactive-studio,aromatic,rhubarb|grapefruit|orange,granny smith apple|pink pepper,vetiver|cedar|musk|amber
ombre-indigo,olfactive-studio,amber,plum|saffron|tuberose|petitgrain,leather|olibanum|vetiver|papyrus,benzoin|ambergris|musk
white-madera,omnia-profumi,vanilla,vanilla|madagascar vanilla|citruses,star anise|vanilla|cinnamon|floral notes|peach blossom,coconut|tobacco blossom|white musk|cedar
siren,paris-hilton,floral,apricot|frangipani|peach|mandarin orange,honeysuckle|orchid|lotus,vanilla|musk|sandalwood
heiress,paris-hilton,fruity,champagne|passionfruit|peach|orange|mimosa,grenadine|tiare flower|ylang-ylang|honeysuckle|star jasmine,tonka bean|violet leaf|white woods
la-petite-fleur-d-or,paris-elysees,woody,saffron|bergamot,guaiac wood|rose|cedar|violet,patchouli|labdanum|sandalowood|white musk
isparta-26,pierre-guillaume-paris,amber,rose|red berries,patchouli|peru balsam|calamus,agarwood (oud)|olibanum|benzoin|moss|ambroxan
lavande-royale,roger-gallet,lavender,orange|mandarin orange,lavender|geranium|spices,musk|oakmoss|benzoin|vanilla|cedar
undergrowth-2020-edition,rook-perfumes,green,mint|grass,soil tincture|green notes|mandarin orange,vetiver|patchouli|white musk
musk-ubar,royal-crown,amber,nutmeg|coriander|olibanum|saffron|cloves,jasmine|angelica|ylang-ylang|tuberose|turkish rose,ambergris|styrax|oakmoss|myrrh|agarwood (oud)|labdanum|tonka bean|vetiver|leather|benzoin|ebony tree|sandalwood
upper-class,royal-crown,amber,raspberry|leather|coriander|black|pink pepper,tuscan iris|olibanum|cedar|agarwood (oud),myrrh|vanilla absolute|labdanum|ambergris|oakmoss|gray musk
roccobarocco-black-for-women,roccobarocco,fruity,black currant|quince|bergamot,tuberose|magnolia|ylang-ylang,vanila|myrrh|amber|incense|patchouli
gold-queen,roccobarocco,woody,pink pepper|wormwood|fig|yellow mandarin|white peach,caramel|iris|coffee|rose,sandalwood|white amber|tonka bean|musk|cashmere wood
kistna,the-body-shop,citrus,bergamot|grapefruit|orange,basil|geranium|thyme,moss|patchouli|cedar
hello,harvey-prince,citrus,lemon|white grapefruit|mandarin orange,frangipani|lemon verbena,tahitian vanilla|musk
no-134-exotic-romance,stradivarius,musky,bergamot,white flowers,musk
lucky-charm-extrait-de-parfum,welton-london,woody,elemi|cardamom|olibanum,kashmir wood|nutmeg|tobacco,sandalwood|labdanum|cedar
cor-gentile,v-canto,floral,myrrh|juniper berries|black pepper|musk,camellia|rose|lily|carnation,russian leather|vanilla|sandalwood|patchouli
varens-original-russian-legend,ulric-de-varens,leather,lime|grapefruit|orange blossom,woody notes|spicy notes|rose|jasmine,leather|woodsy notes|incense
adjatay,the-different-company,white floral,ylang-ylang|mandarin orange,tuberose|jasmine|heliotrope,castoreum|tonka bean|styrax|musk|sandalwood
the-blanc,solinotes,citrus,bergamot|cardamom,white tea|sage,white musk|osmanthus
loence,santi-burgas,woody,juniper berries,cashmere wood|patchouli|virginian cedar,olibanum
fresia,santa-maria-novella,floral,freesia,violet|rose de mai|western skunk cabbage,musk|iris
s-oliver-original-men,s-oliver,aromatic,citron|bergamot|nutmeg|coriander|galbanum,mint|lavender|artemisia,musk|ambergris|virginia cedar
graduate-1954,roads,woody,tuberose|frangipani|rose|heliotrope,clove|lily-of-the-valley|mandarin orange,moss|cedar|patchouli|sandalwood
jasmin-du-malabar,rance-1795,white floral,jasmine|tangerine|bergamot,african orange flower,mimosa
puma-aqua-woman,puma,citrus,lime|green apple|lemon,water hyacinth|pear,patchouli|sandalwood
hortela-verde,phebo,green,mint|bergamot|lime,green leaves|lavender|lily-of-the-valley,musk|hyacinth|cedar
perry-ellis-citron,perry-ellis,fresh spicy,star anise|bergamot|mandarin orange|granny smith apple,geranium|rosemary|black pepper|lavender,musk|teak wood|ambroxan|cedar
trefle-vetiver,parfums-berdoues,green,apple|jasmine,clover,vetiver
equistrius,parfum-d-empire,powdery,iris|violet,powdery notes|chocolate|rice,suede|ambrette (musk mallow)|sandalwood|vetiver|amber
acqua-di-scandola,parfum-d-empire,aromatic,lemon|basil|aldehydes|artemisia,water notes|seaweed|green notes|juniper|geranium|raspberry leaf,immortelle|oakmoss|patchouli|hyrax
perle-rare,panouge,white floral,pear|osmanthus|neroli,jasmine|orange blossom|rose,cashmeran|sandalwood|patchouli
hawaiian-ruby-guava,pacifica,tropical,pomelo,guava,coconut
tuscan-blood-orange,pacifica,citrus,big strawberry|raspberry,blood orange,sweet orange|mandarin orange
halwa-kiss,ojar,sweet,saffron|cardamom|pistachio,honey|dates|rose|roasted nuts,vanilla|amber|sesame
kolonaki,morph,warm spicy,muscenone|javanol|cashmeran,cumin|musk|agarwood (oud),patchouli|amber|vanilla
oroluna,moresque,woody,pink pepper|cardamom|grapefruit,turkish rose|patchouli|cedar|geranium,incense|agarwood (oud)|labdanum|oakmoss|sandalwood|musk
tsuki,miya-shinma,woody,raspberry|bamboo,rose|jasmine,sandalwood|heliotrope|musk
strawberry-cream,mith,fruity,almond|wild berries,strawberry|freesia|iris|jasmine|rose,vanilla|tonka bean|ambrette (musk mallow)|ambergris
